Date,Time,Ask,Bid,AskVolume,BidVolume
08-09-2014,00:00:00.000,105.186,105.182,1,1.5
08-09-2014,00:00:00.546,105.181,105.179,1,1
08-09-2014,00:00:00.699,105.177,105.174,3.75,1.5
08-09-2014,00:00:00.800,105.178,105.174,1,2.25
08-09-2014,00:00:01.003,105.18,105.176,1,1
08-09-2014,00:00:01.510,105.179,105.175,1.5,1
08-09-2014,00:00:01.814,105.174,105.171,1,1.5
08-09-2014,00:00:02.118,105.171,105.169,2.5,1
08-09-2014,00:00:02.270,105.168,105.166,1,1
08-09-2014,00:00:02.322,105.167,105.164,1,2.25
08-09-2014,00:00:02.576,105.166,105.162,2.25,1.5
08-09-2014,00:00:02.821,105.164,105.161,1,1
08-09-2014,00:00:03.327,105.164,105.16,1,1.5
08-09-2014,00:00:03.858,105.165,105.161,1.5,1.5
08-09-2014,00:00:06.431,105.165,105.162,1.5,1
08-09-2014,00:00:07.449,105.166,105.163,4.5,1
08-09-2014,00:00:10.265,105.167,105.163,3.75,1
08-09-2014,00:00:10.769,105.166,105.163,1,1
08-09-2014,00:00:11.380,105.165,105.163,1,1
08-09-2014,00:00:11.884,105.166,105.163,1.5,1
08-09-2014,00:00:12.288,105.168,105.164,3,1
08-09-2014,00:00:12.995,105.166,105.164,1,1
08-09-2014,00:00:13.500,105.167,105.164,1,1
08-09-2014,00:00:16.926,105.168,105.166,2.25,1
08-09-2014,00:00:17.078,105.17,105.168,1,1
08-09-2014,00:00:17.230,105.173,105.172,1,1.25
08-09-2014,00:00:17.280,105.176,105.172,3.75,1.25
08-09-2014,00:00:17.786,105.175,105.172,1,1.25
08-09-2014,00:00:18.292,105.174,105.172,1,1.25
08-09-2014,00:00:19.204,105.174,105.172,1,1.25
08-09-2014,00:00:19.275,105.172,105.17,1,2.44
08-09-2014,00:00:19.378,105.172,105.168,1,2.25
08-09-2014,00:00:19.531,105.17,105.166,1,3.19
08-09-2014,00:00:20.040,105.17,105.166,1,1.69
08-09-2014,00:00:20.552,105.17,105.167,1,1
08-09-2014,00:00:23.065,105.169,105.167,1,1
08-09-2014,00:00:23.570,105.169,105.166,1,1.69
08-09-2014,00:00:24.637,105.168,105.165,1,1.5
08-09-2014,00:00:24.940,105.166,105.164,1,1.25
08-09-2014,00:00:25.445,105.167,105.163,1.5,1.19
08-09-2014,00:00:25.754,105.167,105.162,1.5,2.44
08-09-2014,00:00:26.269,105.167,105.162,2.44,3.19
08-09-2014,00:00:27.797,105.167,105.162,1.25,3.75
08-09-2014,00:00:29.688,105.165,105.162,1,2.25
08-09-2014,00:00:30.344,105.166,105.162,1,1
08-09-2014,00:00:30.849,105.165,105.162,1,1
08-09-2014,00:00:31.505,105.166,105.162,2.44,1
08-09-2014,00:00:33.959,105.165,105.161,1,1
08-09-2014,00:00:37.697,105.164,105.161,1,1
08-09-2014,00:00:39.208,105.164,105.16,1.5,2.44
08-09-2014,00:00:39.511,105.161,105.159,1.5,1.25
08-09-2014,00:00:39.815,105.159,105.157,1,2.44
08-09-2014,00:00:40.420,105.16,105.157,1.5,2.44
08-09-2014,00:00:40.925,105.161,105.157,3,3.19
08-09-2014,00:00:41.722,105.161,105.157,1.69,3.94
08-09-2014,00:00:42.227,105.161,105.158,1.69,1
08-09-2014,00:00:42.737,105.16,105.158,1,1
08-09-2014,00:00:48.267,105.161,105.158,1,1
08-09-2014,00:00:48.772,105.162,105.158,2.25,1
08-09-2014,00:00:53.752,105.162,105.158,1.5,2.44
08-09-2014,00:00:54.739,105.162,105.158,1.5,1.5
08-09-2014,00:00:57.697,105.162,105.159,1,1
08-09-2014,00:00:58.261,105.162,105.16,1,1
08-09-2014,00:00:58.802,105.163,105.16,1.69,1.5
08-09-2014,00:01:00.466,105.163,105.161,2.44,1
08-09-2014,00:01:06.649,105.164,105.161,1.69,1
08-09-2014,00:01:08.968,105.164,105.162,1.69,1
08-09-2014,00:01:10.013,105.164,105.161,1.5,1.69
08-09-2014,00:01:13.143,105.164,105.16,1,2.25
08-09-2014,00:01:13.446,105.165,105.163,1.69,1
08-09-2014,00:01:13.953,105.164,105.163,1,1
08-09-2014,00:01:14.256,105.167,105.165,1.5,1
08-09-2014,00:01:15.029,105.168,105.166,1.25,1
08-09-2014,00:01:15.332,105.173,105.169,3.19,1.5
08-09-2014,00:01:15.383,105.172,105.17,1,1
08-09-2014,00:01:15.888,105.173,105.17,1.5,1.69
08-09-2014,00:01:16.394,105.174,105.171,2.44,1
08-09-2014,00:01:17.224,105.174,105.17,2.44,2.25
08-09-2014,00:01:17.731,105.174,105.172,1.25,1
08-09-2014,00:01:17.883,105.176,105.173,1.5,1
08-09-2014,00:01:18.338,105.178,105.174,4.69,1
08-09-2014,00:01:20.854,105.176,105.174,1,1.25
08-09-2014,00:01:21.362,105.175,105.173,1.5,1.69
08-09-2014,00:01:21.921,105.175,105.172,1.5,2.25
08-09-2014,00:01:22.866,105.174,105.172,1,2.25
08-09-2014,00:01:23.371,105.175,105.172,1,1
08-09-2014,00:01:23.876,105.175,105.171,1.5,3.19
08-09-2014,00:01:24.990,105.174,105.171,1,2.25
08-09-2014,00:01:25.293,105.172,105.17,1.5,1
08-09-2014,00:01:25.737,105.171,105.169,1,1
08-09-2014,00:01:25.839,105.169,105.167,1,2.25
08-09-2014,00:01:26.043,105.166,105.165,1,1
08-09-2014,00:01:26.094,105.166,105.163,1,1
08-09-2014,00:01:26.599,105.166,105.162,3.19,1.69
08-09-2014,00:01:27.106,105.166,105.162,3.19,2.25
08-09-2014,00:01:28.176,105.166,105.164,1.69,1
08-09-2014,00:01:29.096,105.166,105.163,1.69,1
08-09-2014,00:01:29.607,105.166,105.164,1.69,1
08-09-2014,00:01:29.912,105.166,105.162,1.69,1.25
08-09-2014,00:01:31.119,105.166,105.162,1.69,1
08-09-2014,00:01:35.123,105.165,105.161,1.25,2.44
08-09-2014,00:01:35.935,105.165,105.162,1.25,1
08-09-2014,00:01:36.339,105.167,105.163,2.25,1
08-09-2014,00:01:38.247,105.166,105.162,1,3.19
08-09-2014,00:01:38.753,105.167,105.162,2.25,3.19
08-09-2014,00:01:39.258,105.167,105.163,2.44,3.19
08-09-2014,00:01:40.559,105.166,105.163,1,2.44
08-09-2014,00:01:41.137,105.167,105.162,1.5,3.94
08-09-2014,00:01:41.642,105.167,105.163,1.5,1
08-09-2014,00:01:46.535,105.166,105.162,1,3.19
08-09-2014,00:01:48.046,105.167,105.163,1.5,1
08-09-2014,00:01:51.585,105.167,105.164,1.5,1
08-09-2014,00:01:51.946,105.165,105.163,1,1.5
08-09-2014,00:01:52.048,105.167,105.163,3.75,1.5
08-09-2014,00:01:52.150,105.165,105.163,1,1.5
08-09-2014,00:01:52.455,105.163,105.162,1,1.69
08-09-2014,00:01:52.960,105.163,105.161,1,1.25
08-09-2014,00:01:53.510,105.163,105.162,1,1
08-09-2014,00:01:56.490,105.163,105.161,1,3.19
